Date,Close/Last,Volume,Open,High,Low
07/24/2024,$70.60,22490780,$70.52,$70.84,$70.34
07/23/2024,$70.65,9263561,$70.47,$70.70,$70.11
07/22/2024,$70.38,12666130,$70.86,$71.26,$70.2301
07/19/2024,$70.75,11665530,$71.20,$71.33,$70.65
07/18/2024,$70.82,10682740,$70.68,$71.19,$70.43
07/17/2024,$71.03,13533790,$70.18,$71.10,$69.95
07/16/2024,$69.99,9836824,$69.82,$70.24,$69.58
07/15/2024,$69.61,10171140,$69.30,$69.975,$69.30
07/12/2024,$69.24,12145320,$69.90,$70.0299,$69.17
07/11/2024,$69.80,15624800,$70.18,$70.45,$69.26
07/10/2024,$70.41,10803410,$70.10,$70.44,$69.72
07/09/2024,$69.90,9781831,$69.90,$70.25,$69.67
07/08/2024,$69.68,12077680,$69.90,$70.14,$69.35
07/05/2024,$70.04,21586100,$68.16,$70.15,$68.10
07/03/2024,$68.24,6287545,$67.81,$68.25,$67.62
07/02/2024,$68.07,9436487,$67.44,$68.085,$67.26
07/01/2024,$67.48,8666021,$67.89,$68.24,$67.25
06/28/2024,$67.71,18816720,$67.87,$68.0981,$67.32
06/27/2024,$67.88,12899190,$68.29,$68.58,$67.665
06/26/2024,$68.29,14177520,$67.40,$68.5999,$67.21
06/25/2024,$67.42,20904040,$67.17,$67.59,$66.55
06/24/2024,$68.90,12470450,$68.05,$69.04,$67.90
06/21/2024,$67.91,25891530,$68.26,$68.55,$67.83
06/20/2024,$68.01,13860760,$67.35,$68.13,$67.30
06/18/2024,$67.60,12093550,$67.63,$67.87,$67.295
06/17/2024,$67.42,12103040,$66.92,$67.44,$66.4125
06/14/2024,$67.02,12590150,$66.54,$67.11,$66.30
06/13/2024,$66.70,11196600,$66.30,$66.76,$65.9491
06/12/2024,$66.31,11704700,$66.85,$66.94,$65.898
06/11/2024,$66.73,13367510,$66.95,$66.96,$66.35
06/10/2024,$66.96,21667420,$67.19,$67.33,$66.27
06/07/2024,$65.88,20213210,$67.40,$67.565,$65.635
06/06/2024,$67.15,13256010,$67.06,$67.44,$66.77
06/05/2024,$67.09,14982670,$66.57,$67.15,$66.28
06/04/2024,$66.60,14780760,$65.99,$66.635,$65.835
06/03/2024,$65.82,11578710,$65.51,$65.84,$65.1603
05/31/2024,$65.76,27632220,$64.67,$65.90,$64.16
05/30/2024,$64.89,13053480,$64.93,$65.1711,$64.77
05/29/2024,$64.92,11538550,$64.75,$65.21,$64.65
05/28/2024,$65.04,13349620,$65.22,$65.47,$64.74
05/24/2024,$65.38,11795020,$65.13,$65.69,$65.01
05/23/2024,$64.84,16222950,$65.17,$65.515,$64.56
05/22/2024,$65.25,14879430,$64.98,$65.69,$64.73
05/21/2024,$65.15,17131690,$64.53,$65.19,$64.45
05/20/2024,$64.18,15001390,$64.42,$64.76,$63.87
05/17/2024,$64.65,29330380,$64.24,$64.88,$63.63
05/16/2024,$64.01,60545610,$64.22,$64.415,$62.94
05/15/2024,$59.83,22240560,$59.83,$59.94,$59.47
05/14/2024,$59.86,18780140,$60.52,$60.55,$59.435
05/13/2024,$60.41,19260520,$60.62,$61.345,$60.29
05/10/2024,$60.48,12356610,$60.41,$60.58,$60.16
05/09/2024,$60.44,14550460,$60.20,$60.5799,$59.95
