Date,Close/Last,Volume,Open,High,Low
04/25/2024,$56.48,38071010,$54.946,$56.654,$54.5705
04/24/2024,$55.512,53553120,$57.431,$57.6907,$55.13
04/23/2024,$57.775,49755200,$55.649,$57.921,$55.528
04/22/2024,$55.46,85976510,$55.066,$55.861,$54.201
04/19/2024,$55.504,164497000,$56.788,$57.90,$55.216
04/18/2024,$61.056,84684070,$61.21,$62.133,$60.5435
04/17/2024,$61.369,33122220,$62.097,$62.097,$60.771
04/16/2024,$61.752,35191220,$60.75,$62.245,$60.75
04/15/2024,$60.715,30853940,$63.017,$63.017,$60.3871
04/12/2024,$62.283,29592690,$62.823,$63.312,$61.8915
04/11/2024,$62.878,26626620,$62.442,$63.166,$61.724
04/10/2024,$61.858,28062480,$61.097,$62.014,$60.934
04/09/2024,$61.82,21466350,$63.199,$63.199,$61.5635
04/08/2024,$62.841,21457310,$63.639,$63.90,$62.811
04/05/2024,$63.618,33788420,$62.492,$63.791,$62.271
04/04/2024,$61.714,30643490,$63.321,$63.80,$61.658
04/03/2024,$63.008,29312310,$61.2745,$63.041,$61.15
04/02/2024,$61.421,20292170,$61.10,$61.503,$60.551
04/01/2024,$61.431,21159250,$60.80,$61.511,$60.5571
03/28/2024,$60.733,37088030,$61.499,$61.50,$60.159
03/27/2024,$61.353,26282670,$62.901,$63.135,$61.073
03/26/2024,$62.924,28044530,$62.52,$63.439,$61.9184
03/25/2024,$62.746,18032640,$62.79,$63.046,$62.316
03/22/2024,$62.801,21356880,$62.416,$62.905,$62.10
03/21/2024,$62.271,25076710,$63.065,$63.4362,$62.233
03/20/2024,$62.769,26395090,$61.995,$62.9505,$61.834
03/19/2024,$62.074,21426130,$61.562,$62.128,$60.80
03/18/2024,$61.839,33442440,$61.356,$62.741,$61.0448
03/15/2024,$60.588,66716290,$62.292,$62.292,$60.382
03/14/2024,$61.301,31204520,$61.50,$62.08,$60.735
03/13/2024,$60.945,21920940,$61.337,$61.485,$60.721
03/12/2024,$61.108,28216310,$60.021,$61.53,$59.627
03/11/2024,$60.093,25009400,$60.808,$61.10,$60.037
03/08/2024,$60.482,27772430,$60.827,$61.609,$60.084
03/07/2024,$60.851,27428050,$59.934,$61.053,$59.59
03/06/2024,$59.769,24695920,$60.299,$60.793,$59.3556
03/05/2024,$59.85,38495630,$61.01,$61.091,$59.20
03/04/2024,$61.583,30203060,$62.156,$62.442,$61.508
03/01/2024,$61.934,42703050,$59.981,$62.028,$59.95
02/29/2024,$60.292,35720820,$60.425,$60.4516,$59.516
02/28/2024,$59.648,26052420,$59.579,$59.817,$59.001
02/27/2024,$60.167,44893550,$59.50,$60.536,$59.233
02/26/2024,$58.765,23937120,$58.356,$59.075,$58.327
02/23/2024,$58.356,25688520,$58.64,$59.243,$57.982
02/22/2024,$58.847,35265970,$58.275,$59.085,$57.8885
02/21/2024,$57.335,22811430,$57.351,$57.5775,$56.732
02/20/2024,$57.513,31242360,$58.018,$58.60,$56.966
02/16/2024,$58.395,43256890,$59.695,$59.70,$57.746
02/15/2024,$59.346,52209380,$58.191,$59.377,$58.032
02/14/2024,$57.933,56342260,$56.726,$58.1248,$56.434
02/13/2024,$55.452,35114530,$55.08,$55.92,$54.90
02/12/2024,$55.785,36084870,$56.036,$56.844,$55.70
02/09/2024,$56.132,30556980,$56.50,$56.60,$55.81
02/08/2024,$55.853,31754680,$56.055,$56.37,$55.574
02/07/2024,$55.93,43735910,$55.816,$56.78,$55.498
02/06/2024,$55.588,28403000,$56.412,$56.634,$55.437
02/05/2024,$56.206,41430990,$56.247,$57.575,$55.7195
02/02/2024,$56.464,40328430,$56.452,$56.78,$56.237
02/01/2024,$56.751,31740020,$56.702,$57.266,$56.383
01/31/2024,$56.411,48575990,$56.285,$57.215,$56.2045
01/30/2024,$56.285,61817980,$56.732,$57.088,$56.082
01/29/2024,$57.579,69053900,$57.135,$57.855,$56.268
01/26/2024,$57.042,127705700,$56.181,$57.964,$55.8432
01/25/2024,$56.20,94519150,$55.195,$56.346,$54.846
01/24/2024,$54.487,264328000,$53.775,$56.25,$53.707
01/23/2024,$49.219,155060200,$49.20,$49.896,$48.14
01/22/2024,$48.571,52123090,$48.755,$48.98,$47.99
01/19/2024,$48.295,56723510,$48.498,$48.567,$47.606
01/18/2024,$48.531,40543990,$48.003,$48.577,$47.802
01/17/2024,$48.033,48945930,$48.45,$48.621,$47.5264
01/16/2024,$48.124,46789740,$49.00,$49.415,$47.802
01/12/2024,$49.216,50037180,$50.051,$50.079,$49.061
01/11/2024,$49.223,79932650,$49.254,$50.341,$48.382
01/10/2024,$47.833,43424480,$48.16,$48.70,$47.295
01/09/2024,$48.209,35267570,$47.553,$48.5085,$47.38
01/08/2024,$48.503,36757750,$47.389,$48.524,$47.365
01/05/2024,$47.406,26312500,$47.65,$47.9545,$47.1804
01/04/2024,$47.467,36365130,$47.298,$48.0739,$46.653
01/03/2024,$47.026,34436940,$46.732,$47.505,$46.5773
01/02/2024,$46.85,50494230,$48.3185,$48.465,$46.186
12/29/2023,$48.688,27405550,$49.037,$49.223,$48.1935
12/28/2023,$49.051,17104920,$49.20,$49.289,$48.907
12/27/2023,$49.179,25613300,$49.124,$49.4015,$48.925
12/26/2023,$49.119,20345170,$48.939,$49.148,$48.638
12/22/2023,$48.676,27026720,$49.40,$49.602,$48.545
12/21/2023,$49.161,27562250,$49.266,$49.44,$48.677
12/20/2023,$48.927,45636900,$49.20,$50.089,$48.839
12/19/2023,$49.502,38490140,$48.84,$49.614,$48.406
12/18/2023,$48.612,64106600,$47.63,$49.204,$47.5095
12/15/2023,$47.206,78409920,$46.73,$47.30,$46.73
12/14/2023,$46.983,51764370,$48.036,$48.076,$46.476
12/13/2023,$47.998,58201920,$46.198,$48.125,$46.198
12/12/2023,$46.30,33026600,$46.523,$46.561,$45.9196
12/11/2023,$45.989,49296620,$45.936,$47.065,$45.721
12/08/2023,$45.376,34583840,$45.076,$45.55,$45.076
12/07/2023,$45.20,35067220,$45.085,$45.2885,$44.832
12/06/2023,$44.673,41787550,$46.00,$46.05,$44.573
12/05/2023,$45.515,33806740,$45.07,$45.639,$44.958
12/04/2023,$45.39,51577130,$46.099,$46.12,$45.12
12/01/2023,$46.574,43414710,$47.317,$47.523,$46.46
11/30/2023,$47.397,42873490,$47.531,$47.8591,$47.042
11/29/2023,$47.719,28555400,$47.90,$48.0988,$47.449
11/28/2023,$47.90,28901640,$47.811,$48.05,$47.595
11/27/2023,$47.917,36259240,$47.903,$48.20,$47.535
11/24/2023,$47.956,14047320,$47.711,$48.04,$47.52
11/22/2023,$47.80,28438910,$47.68,$48.27,$47.656
11/21/2023,$47.495,29977230,$47.263,$47.702,$47.121
11/20/2023,$47.447,36210950,$46.54,$47.6756,$46.54
11/17/2023,$46.591,28002140,$46.695,$46.765,$46.276
11/16/2023,$46.695,36559740,$46.30,$46.728,$45.965
11/15/2023,$46.194,50352830,$45.281,$46.275,$45.245
11/14/2023,$44.865,40608840,$44.878,$45.4075,$44.564
11/13/2023,$44.462,28961430,$44.725,$44.843,$44.26
11/10/2023,$44.724,44432840,$43.748,$44.748,$43.551
11/09/2023,$43.515,27355070,$43.803,$44.038,$43.435
11/08/2023,$43.665,23568450,$43.50,$43.807,$43.368
11/07/2023,$43.461,32910640,$43.618,$43.764,$43.10
11/06/2023,$43.474,30032350,$43.438,$43.503,$42.961
11/03/2023,$43.236,36670510,$42.876,$43.4815,$42.553
11/02/2023,$42.471,44759840,$42.117,$42.669,$41.71
11/01/2023,$42.019,48061080,$41.477,$42.06,$41.418
10/31/2023,$41.169,38776230,$40.924,$41.252,$40.463
10/30/2023,$41.008,53171470,$40.235,$41.282,$39.941
10/27/2023,$39.787,49976120,$40.642,$41.021,$39.562
10/26/2023,$40.354,68497020,$41.142,$41.731,$40.1544
10/25/2023,$41.125,62995870,$41.602,$41.884,$41.011
10/24/2023,$41.373,64592470,$40.968,$41.669,$40.839
10/23/2023,$40.684,73900320,$40.332,$40.754,$39.852
10/20/2023,$40.096,127829200,$40.563,$41.064,$39.801
10/19/2023,$40.177,280744200,$40.474,$40.895,$39.226
10/18/2023,$34.619,114296400,$35.10,$35.479,$34.473
10/17/2023,$35.572,59084120,$36.11,$36.2705,$35.389
10/16/2023,$36.082,51289470,$35.621,$36.308,$35.477
10/13/2023,$35.568,63163200,$35.564,$35.893,$35.205
10/12/2023,$36.12,73760860,$36.648,$36.883,$35.905
10/11/2023,$36.593,91513950,$37.2775,$37.781,$36.534
10/10/2023,$37.332,72889390,$38.558,$38.87,$37.225
10/09/2023,$38.595,32998020,$37.805,$38.717,$37.7755
10/06/2023,$38.151,47781180,$36.843,$38.252,$36.777
10/05/2023,$37.259,50347730,$37.801,$37.86,$36.724
10/04/2023,$37.69,43036580,$37.65,$38.022,$37.358
10/03/2023,$37.675,88781340,$37.711,$39.49,$37.2849
10/02/2023,$38.033,31021010,$37.748,$38.4808,$37.68
09/29/2023,$37.76,42052980,$38.00,$38.258,$37.535
09/28/2023,$37.636,43699060,$37.56,$37.896,$37.11
09/27/2023,$37.759,38435210,$38.24,$38.4223,$37.625
09/26/2023,$37.925,40893920,$38.288,$38.456,$37.7355
09/25/2023,$38.48,37572780,$38.29,$38.662,$38.081
09/22/2023,$37.981,36997960,$38.50,$38.688,$37.836
09/21/2023,$38.415,55563880,$38.65,$39.59,$38.342
09/20/2023,$38.63,38666190,$39.705,$39.7985,$38.612
09/19/2023,$39.62,40800540,$39.284,$39.823,$39.0245
09/18/2023,$39.44,47047060,$39.55,$39.9465,$39.26
09/15/2023,$39.694,91167450,$40.10,$40.47,$39.503
09/14/2023,$40.049,107090400,$41.04,$41.139,$40.00
09/13/2023,$41.224,118430300,$43.55,$43.84,$41.069
09/12/2023,$43.469,31240240,$44.285,$44.544,$43.412
09/11/2023,$44.536,29137670,$44.307,$44.989,$44.275
09/08/2023,$44.28,27043530,$44.356,$44.681,$43.885
09/07/2023,$44.314,29226760,$44.115,$44.46,$43.67
09/06/2023,$44.576,38622740,$44.861,$45.139,$44.049
09/05/2023,$44.868,61558650,$43.839,$45.345,$43.80
09/01/2023,$43.988,47933790,$43.7725,$44.55,$43.593
08/31/2023,$43.368,38029540,$43.123,$43.715,$43.123
08/30/2023,$43.467,36253800,$43.085,$43.816,$42.835
08/29/2023,$42.999,44867030,$41.60,$43.217,$41.45
08/28/2023,$41.806,29286130,$41.804,$41.983,$41.327
08/25/2023,$41.603,53909330,$41.20,$41.925,$40.7564
08/24/2023,$40.693,56877990,$42.541,$42.759,$40.6165
08/23/2023,$42.755,81747320,$41.84,$43.702,$41.771
08/22/2023,$41.317,36032730,$40.90,$41.574,$40.74
08/21/2023,$40.829,38615790,$40.223,$40.961,$39.95
08/18/2023,$40.453,43121960,$39.933,$40.652,$39.815
08/17/2023,$40.30,60314690,$41.50,$41.524,$40.1582
08/16/2023,$41.545,39670210,$42.373,$42.451,$41.525
08/15/2023,$42.37,33679980,$42.441,$42.912,$42.104
08/14/2023,$42.778,39659630,$42.199,$42.8845,$41.878
08/11/2023,$42.166,39279140,$42.898,$43.0632,$42.1328
08/10/2023,$42.998,54676070,$43.112,$43.812,$42.869
08/09/2023,$42.89,38466390,$43.974,$44.062,$42.759
08/08/2023,$43.83,37671950,$44.036,$44.357,$43.51
08/07/2023,$44.076,47813030,$43.6455,$44.111,$42.8906
08/04/2023,$43.16,54418110,$43.306,$43.65,$42.627
08/03/2023,$43.10,62593090,$42.78,$44.193,$42.719
08/02/2023,$42.97,49217810,$43.523,$43.556,$42.656
08/01/2023,$43.862,57255440,$43.737,$44.525,$43.14
07/31/2023,$43.897,65876190,$42.651,$43.913,$42.63
07/28/2023,$42.578,64280730,$41.556,$42.747,$41.376
07/27/2023,$41.317,65944660,$42.69,$42.752,$41.188
07/26/2023,$42.267,60092420,$42.42,$42.526,$41.559
07/25/2023,$42.77,48598430,$42.718,$43.088,$42.613
07/24/2023,$42.837,82824340,$42.50,$42.864,$41.919
07/21/2023,$42.75,173400300,$43.737,$43.824,$42.319
07/20/2023,$43.742,239897100,$44.70,$44.85,$43.20
07/19/2023,$47.759,209964800,$47.686,$48.50,$47.00
07/18/2023,$47.48,131968800,$45.10,$47.815,$44.878
07/17/2023,$45.005,69011410,$44.557,$45.668,$44.5105
07/14/2023,$44.191,71958600,$45.2785,$45.648,$43.97
07/13/2023,$45.038,61574750,$44.70,$45.167,$44.1177
07/12/2023,$44.405,57316570,$44.455,$44.5409,$43.7749
07/11/2023,$44.021,45745590,$43.865,$44.08,$43.1042
07/10/2023,$44.171,42517370,$43.852,$44.441,$43.682
07/07/2023,$43.81,41651440,$43.86,$44.2325,$43.5835
07/06/2023,$43.884,49448920,$44.00,$44.28,$43.072
07/05/2023,$44.59,68754140,$44.491,$45.097,$43.9624
07/03/2023,$44.144,37284610,$43.976,$44.1545,$43.162
06/30/2023,$44.049,73463940,$43.11,$44.412,$43.11
06/29/2023,$42.824,49323100,$43.433,$43.785,$42.615
06/28/2023,$42.984,88113420,$42.31,$43.7292,$42.289
06/27/2023,$41.708,48180660,$41.739,$42.0879,$41.15
06/26/2023,$41.594,46400220,$42.2435,$43.096,$41.49
06/23/2023,$42.402,82986000,$41.859,$42.582,$41.773
06/22/2023,$42.248,48722460,$42.293,$42.471,$41.868
06/21/2023,$42.445,51464410,$43.265,$43.455,$42.254
06/20/2023,$43.47,47623130,$43.018,$44.00,$43.00
06/16/2023,$43.196,87537400,$44.615,$44.751,$43.09
06/15/2023,$44.527,70999150,$44.41,$44.865,$43.95
06/14/2023,$44.086,84130890,$43.499,$44.733,$43.35
06/13/2023,$43.573,78205350,$43.001,$43.727,$42.84
06/12/2023,$42.397,59677120,$41.883,$42.47,$41.6567
06/09/2023,$42.002,123728300,$42.45,$42.59,$41.476
06/08/2023,$40.937,59910870,$39.977,$40.954,$39.634
06/07/2023,$39.977,119323900,$41.043,$41.895,$39.923
06/06/2023,$39.929,49915320,$40.50,$40.512,$39.693
06/05/2023,$40.354,72474130,$40.047,$41.386,$40.015
06/02/2023,$40.047,59023810,$40.289,$40.658,$39.59
06/01/2023,$40.313,71601450,$39.741,$40.752,$39.308
05/31/2023,$39.523,69880470,$39.189,$39.626,$38.891
05/30/2023,$39.298,108649900,$39.748,$40.511,$38.579
05/26/2023,$37.888,93604360,$36.11,$38.376,$35.60
05/25/2023,$35.90,62631050,$35.961,$36.745,$35.742
05/24/2023,$36.485,79733160,$35.693,$36.7151,$35.6625
05/23/2023,$35.599,68660780,$36.024,$36.417,$35.431
05/22/2023,$36.301,54064200,$36.536,$37.201,$36.25
05/19/2023,$36.536,78597030,$36.986,$36.999,$36.381
05/18/2023,$37.129,209252400,$34.725,$37.587,$34.637
05/17/2023,$33.996,39588070,$33.176,$34.138,$32.9615
05/16/2023,$33.375,33348630,$33.40,$33.517,$33.191
05/15/2023,$33.589,36529700,$34.062,$34.19,$33.554
05/12/2023,$33.989,60823600,$34.476,$34.8166,$33.7364
05/11/2023,$34.476,80335310,$33.498,$34.547,$33.184
05/10/2023,$33.542,42898970,$33.521,$33.711,$32.951
05/09/2023,$33.214,55448520,$33.067,$33.632,$32.974
05/08/2023,$33.121,54885930,$32.299,$33.256,$32.203
05/05/2023,$32.276,39906370,$32.361,$32.415,$31.944
05/04/2023,$32.078,38796570,$31.901,$32.361,$31.795
05/03/2023,$31.93,50640570,$31.755,$32.462,$31.585
05/02/2023,$31.755,43186120,$32.50,$32.607,$31.562
05/01/2023,$32.412,53414840,$32.9435,$33.123,$31.809
04/28/2023,$32.993,42283740,$32.524,$33.0808,$32.40
04/27/2023,$32.585,56187680,$32.43,$32.745,$31.744
04/26/2023,$32.115,46232380,$32.136,$32.59,$32.047
04/25/2023,$32.255,54266420,$32.85,$32.8655,$32.11
04/24/2023,$32.902,55866270,$33.02,$33.466,$32.675
04/21/2023,$32.798,63480000,$32.30,$32.829,$31.95
04/20/2023,$32.535,99478000,$32.039,$33.143,$31.833
04/19/2023,$32.312,221282700,$32.421,$32.575,$31.61
04/18/2023,$33.37,179445000,$33.50,$33.719,$33.05
04/17/2023,$33.272,61360470,$33.80,$33.839,$32.75
04/14/2023,$33.863,53505080,$34.294,$34.4853,$33.641
04/13/2023,$34.619,74064370,$33.999,$34.643,$33.875
04/12/2023,$33.103,39654400,$34.081,$34.28,$33.004
04/11/2023,$33.821,40447780,$34.345,$34.714,$33.7635
04/10/2023,$33.899,26578980,$33.527,$33.988,$33.336
04/06/2023,$33.933,46605420,$33.934,$34.048,$33.263
04/05/2023,$34.235,42055450,$34.53,$34.543,$33.6253
04/04/2023,$34.675,32980720,$34.849,$34.98,$34.395
04/03/2023,$34.828,44136500,$34.183,$34.858,$34.04
03/31/2023,$34.548,56101610,$34.005,$34.584,$33.72
03/30/2023,$33.843,71314680,$34.027,$34.329,$33.53
03/29/2023,$33.203,62873360,$32.629,$33.285,$32.573
03/28/2023,$32.352,64893880,$32.606,$33.332,$32.128
03/27/2023,$32.766,86257630,$32.755,$33.644,$32.441
03/24/2023,$32.839,130040900,$32.063,$33.183,$32.063
03/23/2023,$32.037,156533500,$30.468,$32.278,$30.414
03/22/2023,$29.39,58080350,$30.631,$30.645,$29.354
03/21/2023,$30.579,48862790,$30.632,$30.792,$30.043
03/20/2023,$30.513,51134300,$29.979,$30.75,$29.60
03/17/2023,$30.35,69187770,$31.006,$31.076,$30.00
03/16/2023,$31.006,79123710,$30.475,$31.66,$30.171
03/15/2023,$30.379,92153400,$29.251,$30.631,$29.228
03/14/2023,$29.494,59566920,$29.597,$29.745,$29.031
03/13/2023,$29.351,62923850,$28.734,$29.924,$28.533
03/10/2023,$29.276,57593150,$29.7905,$29.879,$28.90
03/09/2023,$29.778,74433500,$31.208,$31.251,$29.488
03/08/2023,$31.179,34794740,$30.929,$31.183,$30.575
03/07/2023,$30.847,45530820,$31.2675,$31.43,$30.6623
03/06/2023,$31.203,56607430,$31.70,$32.33,$31.1841
03/03/2023,$31.518,59533190,$31.545,$31.749,$31.082
03/02/2023,$31.188,49210530,$31.096,$31.557,$31.038
03/01/2023,$31.348,49113110,$32.155,$32.66,$31.236
02/28/2023,$32.213,36760750,$32.37,$32.762,$32.117
02/27/2023,$32.303,61425800,$32.387,$33.00,$32.2121
02/24/2023,$31.715,68306920,$31.93,$32.15,$31.452
02/23/2023,$32.365,132386700,$33.123,$33.128,$31.43
02/22/2023,$33.488,45462490,$33.75,$34.191,$33.282
02/21/2023,$33.75,57102920,$34.285,$34.4125,$33.6418
02/17/2023,$34.796,52947270,$34.7905,$34.90,$34.244
02/16/2023,$35.071,52157260,$35.50,$36.15,$35.031
02/15/2023,$36.142,39699450,$35.663,$36.288,$35.424
02/14/2023,$35.996,46247580,$35.755,$36.375,$35.34
02/13/2023,$35.857,71344450,$34.95,$35.9703,$34.425
02/10/2023,$34.736,72910960,$35.916,$36.214,$34.714
02/09/2023,$36.25,69011000,$37.241,$37.383,$36.1744
02/08/2023,$36.683,62531790,$36.002,$36.8193,$35.831
02/07/2023,$36.295,62893680,$35.851,$36.418,$35.418
02/06/2023,$36.148,49949420,$36.3642,$36.845,$36.068
02/03/2023,$36.59,94020340,$35.908,$37.943,$35.90
02/02/2023,$36.689,78569520,$36.516,$36.832,$35.843
02/01/2023,$36.199,80051700,$35.386,$36.5385,$34.991
01/31/2023,$35.386,56607380,$34.998,$35.595,$34.871
01/30/2023,$35.311,51275930,$35.844,$36.095,$35.2855
01/27/2023,$36.077,67035480,$36.32,$36.592,$36.059
01/26/2023,$36.487,82568440,$36.877,$36.902,$36.17
01/25/2023,$36.796,77669070,$36.057,$36.89,$35.8501
01/24/2023,$36.383,117965300,$35.753,$36.565,$35.514
01/23/2023,$35.742,156468500,$34.1715,$36.2245,$34.0633
01/20/2023,$34.25,284303400,$33.679,$34.40,$33.2625
01/19/2023,$31.578,180082000,$32.257,$32.489,$31.339
01/18/2023,$32.633,78141150,$32.675,$33.008,$32.125
01/17/2023,$32.622,92469870,$33.108,$33.25,$32.36
01/13/2023,$33.282,82868160,$32.997,$33.665,$32.8885
01/12/2023,$33.013,108562500,$33.25,$33.295,$32.314
01/11/2023,$32.726,95796810,$32.65,$32.888,$32.135
01/10/2023,$32.754,130722900,$31.107,$32.935,$31.107
01/09/2023,$31.517,67666280,$31.683,$32.17,$31.322
01/06/2023,$31.555,89598390,$31.157,$31.677,$30.369
01/05/2023,$30.97,83283900,$30.70,$31.418,$30.4545
01/04/2023,$30.941,93450540,$29.824,$31.1135,$29.551
01/03/2023,$29.495,67639640,$29.806,$29.839,$28.87
12/30/2022,$29.488,75668920,$28.553,$29.501,$28.322
12/29/2022,$29.112,95885270,$28.318,$29.55,$28.101
12/28/2022,$27.688,59643690,$28.192,$28.519,$27.341
12/27/2022,$28.417,57780980,$29.319,$29.357,$28.213
12/23/2022,$29.4965,42511080,$29.618,$29.8461,$29.191
12/22/2022,$29.775,78561920,$29.809,$29.888,$29.0813
12/21/2022,$29.796,63761730,$28.999,$30.066,$28.65
12/20/2022,$28.819,69181140,$28.124,$28.928,$28.081
12/19/2022,$28.83,61636670,$28.973,$29.225,$28.613
12/16/2022,$29.071,140800500,$28.876,$29.472,$28.87
12/15/2022,$29.041,177245600,$30.212,$30.339,$28.655
12/14/2022,$31.783,75432910,$31.897,$32.471,$31.442
12/13/2022,$32.034,107564300,$32.80,$33.2724,$31.7199
12/12/2022,$31.518,101486100,$32.00,$32.318,$30.885
12/09/2022,$32.001,143640300,$32.145,$32.90,$31.952
12/08/2022,$31.026,72053260,$30.911,$31.238,$30.481
12/07/2022,$30.842,78216340,$30.65,$30.961,$30.21
12/06/2022,$30.556,71953950,$31.10,$31.3223,$30.313
12/05/2022,$31.259,84230290,$31.646,$32.277,$31.092
12/02/2022,$32.041,126906000,$31.049,$32.199,$31.00
12/01/2022,$31.695,146648700,$30.399,$31.98,$30.303
11/30/2022,$30.553,160701200,$28.137,$30.826,$28.041
11/29/2022,$28.096,57868740,$28.25,$28.296,$27.594
11/28/2022,$28.117,47070490,$28.40,$28.955,$28.053
11/25/2022,$28.554,32359530,$28.90,$28.921,$28.417
11/23/2022,$29.15,59189880,$28.591,$29.247,$28.376
11/22/2022,$28.669,62451190,$28.499,$28.698,$27.734
11/21/2022,$28.505,72565070,$29.10,$29.187,$28.266
11/18/2022,$28.798,84001080,$29.733,$29.80,$28.70
11/17/2022,$29.528,98382200,$29.472,$29.982,$29.10
11/16/2022,$30.602,80385560,$30.994,$31.049,$30.361
11/15/2022,$31.02,146269300,$30.92,$31.271,$30.255
11/14/2022,$29.927,179734000,$29.00,$31.10,$28.819
11/11/2022,$29.013,95738340,$27.447,$29.066,$27.1558
11/10/2022,$27.497,96673230,$26.599,$27.536,$26.009
11/09/2022,$25.466,72659940,$25.966,$26.09,$25.422
11/08/2022,$26.346,76838260,$25.992,$26.608,$25.688
11/07/2022,$25.86,79270330,$26.106,$26.1155,$25.209
11/04/2022,$26.079,111246900,$27.202,$27.497,$25.532
11/03/2022,$26.906,70573500,$27.125,$27.629,$26.88
11/02/2022,$27.30,103676200,$28.64,$28.733,$27.284
11/01/2022,$28.675,69164240,$29.617,$29.97,$28.642
10/31/2022,$29.188,75051330,$29.513,$29.762,$28.95
10/28/2022,$29.572,99605470,$29.77,$30.119,$29.2292
10/27/2022,$29.694,146125900,$29.833,$30.521,$29.478
10/26/2022,$29.862,157492500,$29.004,$30.563,$28.804
10/25/2022,$29.102,151007200,$28.695,$29.759,$28.555
10/24/2022,$28.245,133264200,$29.023,$29.049,$28.036
10/21/2022,$28.957,248890600,$26.895,$29.075,$26.568
10/20/2022,$26.816,172071000,$27.278,$27.8376,$26.638
10/19/2022,$27.238,466852600,$26.50,$27.93,$26.266
10/18/2022,$24.086,257767300,$24.98,$25.037,$23.773
10/17/2022,$24.51,210578200,$23.441,$24.9922,$23.44
10/14/2022,$23.00,152934000,$23.78,$23.88,$22.951
10/13/2022,$23.251,175050100,$21.269,$23.447,$21.173
10/12/2022,$22.087,129526400,$21.43,$22.367,$21.264
10/11/2022,$21.429,152824100,$22.605,$23.044,$21.37
10/10/2022,$22.998,99911450,$22.564,$23.383,$22.423
10/07/2022,$22.475,98061280,$23.577,$23.733,$22.428
10/06/2022,$24.002,91889400,$23.668,$24.428,$23.391
10/05/2022,$23.673,108256300,$23.876,$24.159,$22.738
10/04/2022,$24.074,139258500,$24.484,$24.58,$23.325
10/03/2022,$23.904,86574430,$23.785,$24.154,$23.285
09/30/2022,$23.544,118486100,$23.70,$24.244,$23.326
09/29/2022,$23.971,189949400,$24.161,$24.698,$23.568
09/28/2022,$24.52,175796700,$22.969,$24.665,$22.738
09/27/2022,$22.436,77622230,$22.863,$23.064,$22.072
09/26/2022,$22.407,82342850,$22.56,$23.27,$22.301
09/23/2022,$22.641,112072300,$23.514,$23.645,$22.143
09/22/2022,$23.705,100179700,$23.535,$24.05,$23.166
09/21/2022,$23.687,91667720,$24.267,$24.83,$23.668
09/20/2022,$24.285,160374300,$24.037,$25.049,$23.966
09/19/2022,$24.363,179123700,$24.505,$24.525,$23.575
09/16/2022,$24.013,189141800,$23.122,$24.1355,$22.783
09/15/2022,$23.538,194541200,$23.047,$24.2287,$22.91
09/14/2022,$22.412,82303400,$21.982,$22.80,$21.58
09/13/2022,$21.813,80001280,$22.65,$22.769,$21.772
09/12/2022,$23.653,60474250,$23.361,$23.949,$23.337
09/09/2022,$23.357,67020600,$22.962,$23.478,$22.962
09/08/2022,$22.744,67374360,$22.416,$22.8735,$22.13
09/07/2022,$22.896,81493290,$22.021,$22.933,$21.8268
09/06/2022,$21.839,74690160,$22.559,$22.685,$21.469
09/02/2022,$22.611,81648830,$23.103,$23.3881,$22.504
09/01/2022,$23.004,72929170,$22.072,$23.037,$21.947
08/31/2022,$22.356,86159060,$22.70,$23.3879,$22.343
08/30/2022,$22.065,57404340,$22.666,$22.979,$21.874
08/29/2022,$22.457,71093970,$22.193,$22.987,$22.152
08/26/2022,$22.328,53498480,$23.3625,$23.695,$22.315
08/25/2022,$23.398,37668670,$23.024,$23.416,$22.90
08/24/2022,$22.961,54263160,$22.566,$23.41,$22.394
08/23/2022,$22.455,52769450,$22.646,$22.99,$22.43
08/22/2022,$22.654,86300940,$23.255,$23.3475,$22.459
08/19/2022,$24.116,75047070,$24.095,$24.329,$23.568
08/18/2022,$24.517,52803870,$24.196,$24.6479,$23.928
08/17/2022,$24.115,56272240,$24.118,$24.424,$23.756
08/16/2022,$24.569,51368060,$24.716,$24.929,$24.403
08/15/2022,$24.911,65273910,$24.811,$25.199,$24.751
08/12/2022,$24.93,60985310,$24.481,$24.941,$24.376
08/11/2022,$24.27,87800620,$24.468,$25.162,$24.151
08/10/2022,$24.411,92547600,$23.699,$24.454,$23.6596
08/09/2022,$22.994,61811940,$23.162,$23.22,$22.465
08/08/2022,$23.349,109974100,$22.749,$24.196,$22.641
08/05/2022,$22.678,55397330,$22.53,$22.862,$22.287
08/04/2022,$22.991,71427410,$22.768,$23.207,$22.505
08/03/2022,$22.673,64007010,$22.479,$22.81,$22.242
08/02/2022,$22.142,63613270,$22.276,$22.82,$22.088
08/01/2022,$22.621,55250440,$22.3095,$22.839,$22.10
07/29/2022,$22.49,90649370,$22.329,$23.075,$22.24
07/28/2022,$22.602,89727380,$22.46,$22.81,$21.967
07/27/2022,$22.675,105083900,$21.648,$22.778,$21.458
07/26/2022,$21.391,95085320,$21.666,$21.939,$21.164
07/25/2022,$21.851,109352500,$22.131,$22.523,$21.635
07/22/2022,$22.044,178054500,$22.238,$22.935,$21.844
07/21/2022,$22.388,234301200,$21.43,$22.432,$21.15
07/20/2022,$21.644,539202700,$20.817,$21.697,$20.01
07/19/2022,$20.163,281787200,$19.302,$20.197,$18.84
