Date,Close/Last,Volume,Open,High,Low
12/09/2025,$300.51,18049220,$314.95,$318.80,$300.02
12/08/2025,$315.21,7417191,$315.06,$316.47,$313.3501
12/05/2025,$315.04,6518908,$315.64,$318.48,$314.68
12/04/2025,$316.10,9627834,$313.26,$318.49,$313.00
12/03/2025,$312.13,8535260,$307.20,$312.36,$306.80
12/02/2025,$307.88,7249043,$308.74,$310.48,$307.09
12/01/2025,$308.92,7727324,$312.95,$314.04,$308.54
11/28/2025,$313.08,4322448,$309.10,$313.72,$308.24
11/26/2025,$307.64,7910851,$305.00,$308.525,$303.20
11/25/2025,$303.00,8877188,$300.05,$304.50,$295.56
11/24/2025,$298.00,10940190,$298.24,$299.82,$294.51
11/21/2025,$298.02,11766810,$301.29,$301.68,$292.8101
11/20/2025,$298.38,7501582,$306.34,$309.92,$298.16
11/19/2025,$303.27,5546555,$299.74,$304.4499,$299.265
11/18/2025,$299.41,8077315,$299.50,$302.945,$297.02
11/17/2025,$300.37,8344046,$304.00,$305.59,$297.6714
11/14/2025,$303.61,10326980,$307.51,$307.64,$301.23
11/13/2025,$309.48,8973258,$319.23,$320.6325,$309.10
11/12/2025,$320.41,10578270,$316.26,$322.25,$316.21
11/11/2025,$315.62,5030216,$317.50,$319.05,$315.28
11/10/2025,$316.89,5794505,$315.00,$319.555,$314.21
11/07/2025,$314.21,7302347,$311.89,$314.43,$307.642
11/06/2025,$313.42,7206111,$310.99,$314.84,$310.26
11/05/2025,$311.68,6865198,$309.61,$313.10,$305.63
11/04/2025,$309.25,7085164,$306.71,$312.22,$305.10
11/03/2025,$309.35,7770040,$311.00,$312.32,$306.21
10/31/2025,$311.12,7721297,$308.54,$312.87,$307.25
10/30/2025,$309.44,7514556,$305.79,$312.61,$305.10
10/29/2025,$305.51,7520324,$303.51,$308.245,$303.01
10/28/2025,$305.36,6335993,$304.86,$307.9674,$303.16
10/27/2025,$304.15,5642222,$302.16,$304.53,$301.01
10/24/2025,$300.44,7228330,$296.08,$302.60,$295.45
10/23/2025,$294.54,5438810,$294.38,$296.3699,$292.51
10/22/2025,$294.11,8054115,$297.77,$298.0599,$290.5448
10/21/2025,$297.09,7372671,$301.66,$304.05,$297.00
10/20/2025,$302.36,6894943,$298.50,$303.69,$298.1601
10/17/2025,$297.56,10153450,$299.16,$299.55,$294.20
10/16/2025,$298.54,10549450,$305.35,$308.6799,$297.07
10/15/2025,$305.69,11354780,$306.39,$312.1199,$305.44
10/14/2025,$302.08,16178760,$305.84,$307.00,$294.21
10/13/2025,$307.97,10788680,$305.60,$309.46,$305.45
10/10/2025,$300.89,8597384,$305.66,$310.47,$300.81
10/09/2025,$305.53,7060332,$305.05,$308.035,$303.3947
10/08/2025,$304.03,6489883,$308.21,$308.7832,$303.55
10/07/2025,$307.69,8454217,$309.35,$310.01,$304.70
10/06/2025,$309.18,7214502,$310.18,$311.7474,$305.1301
10/03/2025,$310.03,6029854,$308.51,$311.66,$308.21
10/02/2025,$307.55,7599973,$310.00,$310.56,$306.14
10/01/2025,$310.71,9235211,$313.97,$314.59,$307.41
09/30/2025,$315.43,11823320,$316.25,$317.41,$310.11
09/29/2025,$315.69,6462442,$317.06,$318.01,$313.66
09/26/2025,$316.06,7258136,$314.90,$317.81,$313.704
09/25/2025,$313.45,7083198,$314.12,$315.65,$311.80
09/24/2025,$313.42,7310513,$314.05,$316.5773,$311.665
09/23/2025,$312.74,8584420,$311.815,$316.3141,$310.58
09/22/2025,$312.44,7520190,$309.80,$313.70,$309.555
09/19/2025,$314.78,23568550,$313.60,$315.80,$309.12
09/18/2025,$313.23,8050671,$311.79,$313.44,$309.61
09/17/2025,$311.75,8657765,$310.39,$312.91,$308.7722
09/16/2025,$309.19,10525590,$310.00,$310.90,$307.1347
09/15/2025,$308.90,7122015,$307.17,$309.95,$307.17
09/12/2025,$306.91,6846674,$305.00,$307.55,$303.695
09/11/2025,$305.56,7942489,$301.24,$305.73,$300.7925
09/10/2025,$300.54,7787303,$296.70,$301.54,$295.40
09/09/2025,$297.85,7848196,$292.60,$299.00,$292.31
09/08/2025,$292.91,8188506,$294.89,$296.46,$291.44
09/05/2025,$294.38,9837709,$303.65,$305.15,$294.31
09/04/2025,$303.82,6605797,$300.00,$304.43,$298.28
09/03/2025,$299.51,6316911,$300.57,$300.57,$296.38
09/02/2025,$299.70,7221855,$300.26,$300.455,$294.50
08/29/2025,$301.42,6796380,$302.04,$302.95,$299.73
08/28/2025,$301.07,6410535,$300.025,$301.2399,$298.70
08/27/2025,$299.28,6056513,$297.25,$301.07,$297.04
08/26/2025,$298.57,6714749,$294.16,$298.74,$293.5001
08/25/2025,$294.90,5856258,$296.24,$297.3475,$294.14
08/22/2025,$296.24,8552847,$293.20,$297.16,$290.13
08/21/2025,$291.47,6624161,$291.94,$292.7661,$289.4725
08/20/2025,$292.24,7374244,$290.81,$293.33,$287.27
08/19/2025,$290.66,6031520,$290.83,$292.48,$289.53
08/18/2025,$291.53,5386856,$290.00,$291.90,$288.41
08/15/2025,$290.49,7340518,$294.84,$295.50,$289.82
08/14/2025,$294.16,6322381,$290.58,$294.20,$289.6391
08/13/2025,$290.53,8420407,$293.95,$294.55,$287.16
08/12/2025,$292.85,8572034,$291.50,$294.75,$290.34
08/11/2025,$289.56,5510113,$289.40,$291.32,$288.78
08/08/2025,$288.76,6634506,$288.98,$291.23,$284.706
08/07/2025,$286.94,8057109,$292.94,$293.46,$286.41
08/06/2025,$291.35,6330155,$292.30,$293.29,$290.16
08/05/2025,$291.37,7182333,$294.69,$295.785,$287.24
08/04/2025,$294.26,6649542,$290.26,$294.32,$290.26
08/01/2025,$289.37,12007110,$290.40,$291.795,$284.2376
07/31/2025,$296.24,14749650,$299.14,$300.975,$295.50
07/30/2025,$299.63,8061742,$297.42,$300.61,$297.38
07/29/2025,$297.04,7635719,$300.00,$301.2931,$296.20
07/28/2025,$298.28,5840417,$297.66,$299.43,$296.82
07/25/2025,$298.62,5918875,$296.70,$298.90,$295.955
07/24/2025,$296.55,7001242,$297.42,$299.5899,$296.20
07/23/2025,$296.76,7083510,$292.84,$296.99,$292.55
07/22/2025,$291.43,6717461,$291.50,$293.625,$289.18
07/21/2025,$290.97,7898141,$291.00,$294.18,$290.58
07/18/2025,$291.27,12217020,$289.52,$292.50,$288.23
07/17/2025,$289.90,8509504,$283.44,$290.2965,$283.44
07/16/2025,$285.82,9979768,$288.40,$290.73,$283.01
07/15/2025,$286.55,12526110,$288.00,$291.95,$285.48
07/14/2025,$288.70,9079941,$287.07,$289.30,$285.2556
07/11/2025,$286.86,7384674,$285.52,$287.38,$283.655
07/10/2025,$288.19,8413847,$283.00,$288.31,$283.00
07/09/2025,$283.16,11273800,$287.18,$287.195,$282.48
07/08/2025,$282.78,15440860,$289.275,$289.70,$280.31
07/07/2025,$291.97,8825732,$295.25,$296.04,$290.08
07/03/2025,$296.00,6541646,$292.15,$296.40,$291.21
07/02/2025,$292.00,8158692,$292.04,$292.822,$289.70
07/01/2025,$290.41,9338260,$290.89,$291.13,$286.59
06/30/2025,$289.91,12689160,$290.40,$292.65,$288.92
06/27/2025,$287.11,17868630,$285.81,$288.6962,$285.04
06/26/2025,$288.75,8942062,$284.70,$289.41,$284.47
06/25/2025,$284.06,6826901,$281.50,$284.28,$280.91
06/24/2025,$281.26,9267941,$280.21,$282.715,$279.51
06/23/2025,$278.27,8094559,$275.06,$278.55,$272.1128
06/20/2025,$275.00,13969670,$275.57,$277.30,$273.8119
06/18/2025,$273.96,9586440,$270.00,$277.72,$269.72
06/17/2025,$269.52,6739262,$268.17,$270.59,$267.80
06/16/2025,$270.36,8566019,$267.00,$271.73,$266.85
06/13/2025,$264.95,7098265,$265.08,$267.02,$262.71
06/12/2025,$268.24,6618026,$266.86,$268.29,$265.14
06/11/2025,$268.15,7434064,$268.68,$269.6199,$265.7862
06/10/2025,$268.60,7538135,$265.88,$268.90,$265.85
06/09/2025,$266.74,8285364,$266.00,$267.90,$263.35
06/06/2025,$265.73,7738134,$264.33,$266.65,$264.26
06/05/2025,$261.95,8179258,$264.74,$264.74,$260.31
06/04/2025,$264.22,5915710,$265.92,$267.12,$264.18
06/03/2025,$266.27,6998383,$263.73,$266.58,$262.88
06/02/2025,$264.66,6011165,$263.02,$265.03,$261.90
05/30/2025,$264.00,10977660,$263.45,$265.33,$262.725
05/29/2025,$264.37,5081992,$264.80,$265.4099,$262.53
05/28/2025,$263.49,5535408,$266.24,$266.72,$262.90
05/27/2025,$265.29,7506555,$262.04,$265.30,$261.99
05/23/2025,$260.71,6671841,$256.81,$261.99,$256.0001
05/22/2025,$260.67,6514113,$259.44,$262.30,$258.8687
05/21/2025,$261.04,7464045,$264.35,$265.65,$260.7263
05/20/2025,$265.68,8436337,$262.52,$266.66,$262.30
05/19/2025,$264.88,12145050,$265.55,$268.32,$261.93
05/16/2025,$267.56,8932912,$267.50,$268.4593,$264.71
05/15/2025,$267.49,9214641,$266.97,$269.52,$264.76
05/14/2025,$265.64,8643060,$263.00,$266.64,$262.29
05/13/2025,$263.01,8588961,$261.03,$263.67,$260.39
05/12/2025,$260.05,9603892,$262.90,$263.60,$258.70
05/09/2025,$253.08,5087639,$254.50,$255.51,$252.34
05/08/2025,$253.47,8320118,$251.57,$255.88,$251.55
05/07/2025,$249.39,8724267,$249.85,$252.45,$248.83
05/06/2025,$249.25,6369934,$250.00,$252.65,$249.00
05/05/2025,$252.56,5450744,$251.18,$255.16,$250.5901
05/02/2025,$252.51,7165044,$251.26,$253.6187,$249.4629
05/01/2025,$246.89,8689579,$242.84,$248.45,$242.17
04/30/2025,$244.62,12991700,$241.21,$245.22,$238.43
04/29/2025,$244.62,7216788,$242.19,$245.25,$241.69
04/28/2025,$243.22,7394297,$244.56,$246.8437,$240.84
04/25/2025,$243.55,8588564,$244.65,$245.62,$241.75
04/24/2025,$244.64,9055197,$239.74,$245.4695,$237.58
04/23/2025,$240.88,14126770,$240.22,$246.79,$240.00
04/22/2025,$235.59,10701400,$231.98,$235.99,$231.37
04/21/2025,$228.99,8716177,$230.63,$231.81,$226.336
04/17/2025,$231.96,9557946,$230.80,$234.34,$230.55
04/16/2025,$229.61,9322325,$232.00,$233.58,$227.93
04/15/2025,$233.13,10912880,$236.10,$238.65,$232.82
04/14/2025,$234.72,13017820,$237.10,$239.78,$233.6301
04/11/2025,$236.20,20284450,$226.31,$238.575,$225.00
04/10/2025,$227.11,18896440,$230.00,$230.3499,$220.10
04/09/2025,$234.34,24022350,$212.50,$237.48,$211.00
04/08/2025,$216.87,19485730,$223.52,$227.8378,$213.25
04/07/2025,$214.44,22914370,$205.77,$222.053,$202.16
04/04/2025,$210.28,27170690,$215.305,$217.70,$208.93
04/03/2025,$228.69,17188470,$234.27,$235.14,$227.30
04/02/2025,$245.82,7758750,$241.60,$247.245,$241.46
04/01/2025,$243.66,8054683,$242.62,$245.69,$240.8818
03/31/2025,$245.30,13603000,$239.41,$245.86,$237.3643
03/28/2025,$242.85,11978420,$246.94,$249.505,$241.11
03/27/2025,$248.12,8022517,$249.525,$250.64,$247.18
03/26/2025,$251.03,12785230,$252.60,$254.67,$249.78
03/25/2025,$251.13,9287694,$249.31,$251.82,$247.6247
03/24/2025,$248.06,9422650,$245.48,$248.69,$244.41
03/21/2025,$241.63,19326870,$237.81,$242.30,$236.50
03/20/2025,$239.01,8328513,$236.56,$241.76,$236.20
03/19/2025,$239.11,10120590,$235.74,$242.33,$234.89
03/18/2025,$234.97,10344870,$234.32,$236.17,$233.52
03/17/2025,$233.93,9586025,$231.18,$235.6695,$230.455
03/14/2025,$232.44,11962110,$228.12,$233.143,$227.58
03/13/2025,$225.19,16467850,$229.30,$229.50,$224.23
03/12/2025,$227.90,16054020,$234.00,$234.32,$227.26
03/11/2025,$229.14,18143000,$231.745,$233.32,$226.69
03/10/2025,$232.22,18887190,$236.21,$237.51,$228.695
03/07/2025,$242.28,20498730,$245.23,$246.72,$239.42
03/06/2025,$246.54,9983235,$248.11,$249.36,$243.85
03/05/2025,$251.53,7861424,$251.25,$253.05,$247.83
03/04/2025,$250.25,13465630,$255.28,$257.23,$245.95
03/03/2025,$260.62,9058307,$264.00,$266.32,$257.82
02/28/2025,$264.65,10467130,$260.73,$264.81,$257.89
02/27/2025,$259.05,8204447,$260.18,$263.64,$257.86
02/26/2025,$258.79,5943585,$257.16,$260.9115,$256.93
02/25/2025,$257.40,9608439,$262.23,$263.00,$253.35
02/24/2025,$261.34,10372750,$265.49,$267.00,$258.61
02/21/2025,$264.24,12835570,$268.32,$269.1955,$262.84
02/20/2025,$266.80,13846670,$278.675,$278.74,$265.735
02/19/2025,$279.25,7007248,$278.38,$280.25,$277.22
02/18/2025,$279.95,7919798,$276.76,$279.97,$276.02
02/14/2025,$276.59,5688627,$277.37,$279.2334,$276.45
02/13/2025,$276.32,8398667,$275.50,$276.97,$273.81
02/12/2025,$275.45,6683894,$274.08,$276.45,$273.25
02/11/2025,$274.99,7196376,$270.26,$276.22,$269.66
02/10/2025,$271.04,8627352,$276.15,$276.18,$269.59
02/07/2025,$275.80,6857875,$277.27,$278.55,$274.715
02/06/2025,$276.90,7264371,$272.45,$276.98,$271.19
02/05/2025,$270.43,5704431,$268.91,$270.64,$268.33
02/04/2025,$267.94,5625972,$269.84,$269.84,$266.83
02/03/2025,$266.81,8381361,$261.83,$268.165,$261.7009
01/31/2025,$267.30,7196268,$269.23,$270.82,$266.96
01/30/2025,$268.23,8753466,$268.63,$269.70,$266.6201
01/29/2025,$266.58,7684870,$267.21,$270.68,$265.61
01/28/2025,$267.14,7375391,$265.85,$267.33,$264.8301
01/27/2025,$265.85,7522258,$264.17,$265.97,$262.26
01/24/2025,$264.84,7666261,$263.69,$267.10,$263.01
01/23/2025,$265.95,10749680,$264.69,$266.8599,$263.81
01/22/2025,$262.84,9021914,$262.90,$263.38,$260.25
01/21/2025,$263.03,13712110,$260.07,$264.25,$259.5037
01/17/2025,$259.16,17678100,$254.14,$260.62,$252.14
01/16/2025,$254.27,15292350,$254.00,$257.035,$252.33
01/15/2025,$252.35,18448520,$250.40,$253.6699,$243.68
01/14/2025,$247.47,12407390,$242.66,$247.72,$242.19
01/13/2025,$244.21,10005320,$239.67,$244.54,$239.00
01/10/2025,$239.87,10256830,$243.09,$243.81,$238.74
01/08/2025,$243.13,8675284,$242.75,$244.25,$240.50
01/07/2025,$243.17,8753357,$242.14,$245.26,$240.90
01/06/2025,$240.85,9917836,$243.695,$245.69,$240.58
01/03/2025,$243.28,9491053,$243.89,$244.88,$240.26
01/02/2025,$240.00,9220914,$240.92,$243.276,$239.45
12/31/2024,$239.71,4870971,$240.05,$241.4393,$239.03
12/30/2024,$239.32,5723765,$238.77,$240.84,$237.11
12/27/2024,$241.17,5730607,$242.72,$243.39,$240.04
12/26/2024,$243.14,4452168,$241.43,$243.26,$240.79
12/24/2024,$242.31,3729092,$239.43,$242.4922,$239.07
12/23/2024,$238.39,8611528,$236.07,$238.62,$234.88
12/20/2024,$237.60,32348410,$231.92,$239.21,$231.5877
12/19/2024,$232.96,11790770,$232.27,$236.36,$232.27
12/18/2024,$230.37,11322360,$239.00,$239.07,$229.53
12/17/2024,$238.36,8083635,$238.65,$239.02,$236.63
12/16/2024,$239.58,9032044,$240.61,$240.67,$237.52
12/13/2024,$239.94,10392750,$242.07,$242.715,$239.1437
12/12/2024,$241.53,6113771,$243.00,$244.10,$241.04
12/11/2024,$243.53,7884442,$244.00,$244.27,$242.18
12/10/2024,$242.86,9108339,$243.89,$247.96,$242.22
12/09/2024,$243.81,7076466,$247.13,$247.8699,$243.76
12/06/2024,$247.36,5519738,$245.70,$247.74,$244.84
12/05/2024,$245.48,6572536,$245.39,$247.18,$244.62
12/04/2024,$243.40,7346265,$244.70,$245.345,$242.23
12/03/2024,$244.82,6657694,$248.23,$249.04,$244.63
12/02/2024,$246.25,8899741,$249.55,$250.25,$245.03
11/29/2024,$249.72,5494825,$249.86,$251.77,$249.445
11/27/2024,$249.79,5472265,$249.35,$251.19,$248.771
11/26/2024,$249.97,6212142,$250.49,$251.00,$248.34
11/25/2024,$250.29,10295350,$249.59,$254.31,$249.06
11/22/2024,$248.55,7997307,$243.61,$249.15,$243.0347
11/21/2024,$244.76,8783516,$243.23,$245.49,$242.105
11/20/2024,$240.78,9015290,$244.40,$244.61,$238.64
11/19/2024,$243.09,6792660,$242.25,$245.1509,$241.55
11/18/2024,$245.03,9052575,$247.76,$247.93,$242.68
11/15/2024,$245.31,11518840,$241.46,$246.42,$241.46
11/14/2024,$241.87,10172200,$242.415,$244.29,$241.05
11/13/2024,$241.16,11472560,$240.58,$244.09,$240.31
11/12/2024,$239.56,6860956,$240.55,$241.46,$238.76
11/11/2024,$239.29,9017079,$240.00,$242.10,$239.00
11/08/2024,$236.98,9502100,$239.34,$239.34,$235.78
11/07/2024,$236.38,16451070,$244.50,$244.57,$235.22
11/06/2024,$247.06,23987750,$235.00,$248.00,$234.77
11/05/2024,$221.49,5600686,$220.03,$221.96,$220.00
11/04/2024,$219.78,8229588,$222.65,$223.76,$219.17
11/01/2024,$222.94,6923452,$223.56,$226.15,$222.70
10/31/2024,$221.92,7829932,$224.70,$225.69,$221.82
10/30/2024,$224.41,7110941,$222.54,$226.31,$221.58
10/29/2024,$222.90,6580004,$225.21,$226.75,$222.81
10/28/2024,$225.50,6842956,$223.35,$225.64,$222.95
10/25/2024,$222.31,6369720,$225.00,$225.62,$220.875
10/24/2024,$224.98,6002202,$221.83,$225.06,$221.66
10/23/2024,$223.41,6180528,$223.66,$224.7999,$222.53
10/22/2024,$224.12,9586793,$223.02,$225.28,$221.10
10/21/2024,$223.00,5869959,$225.22,$225.70,$222.90
10/18/2024,$225.37,7000543,$225.00,$225.92,$223.10
10/17/2024,$224.42,6470186,$224.27,$225.85,$223.31
10/16/2024,$223.64,6382515,$222.33,$223.68,$221.04
10/15/2024,$222.39,9235825,$223.66,$225.45,$221.82
10/14/2024,$221.48,9048925,$223.20,$223.70,$218.88
10/11/2024,$222.29,18320650,$215.67,$224.6299,$215.16
10/10/2024,$212.84,7927051,$214.81,$214.81,$211.47
10/09/2024,$213.42,7023998,$209.70,$214.24,$209.38
10/08/2024,$210.75,6021772,$210.58,$211.33,$208.38
10/07/2024,$210.93,6718898,$211.03,$213.33,$209.69
10/04/2024,$211.22,10213420,$209.30,$211.67,$206.91
10/03/2024,$205.23,7251325,$206.17,$206.49,$204.34
10/02/2024,$207.29,5810931,$207.08,$208.95,$205.69
10/01/2024,$207.04,8540064,$208.90,$209.09,$206.19
09/30/2024,$210.86,8668314,$206.31,$210.96,$205.26
09/27/2024,$210.50,7032450,$210.65,$212.44,$209.33
09/26/2024,$209.78,7807480,$211.13,$211.70,$209.01
09/25/2024,$210.19,8976520,$211.68,$212.24,$208.61
09/24/2024,$211.59,7323239,$211.15,$212.95,$210.37
09/23/2024,$211.44,7223491,$211.00,$211.80,$209.99
09/20/2024,$211.09,20884970,$209.93,$211.415,$209.50
09/19/2024,$210.48,11635170,$209.78,$211.91,$207.34
09/18/2024,$207.53,8259876,$209.01,$211.3361,$206.70
09/17/2024,$209.25,7573345,$207.73,$209.93,$207.66
09/16/2024,$207.86,8634936,$205.83,$208.21,$205.59
09/13/2024,$204.32,10226690,$206.86,$207.8482,$203.02
09/12/2024,$206.60,9055756,$207.65,$208.78,$204.89
09/11/2024,$207.23,13658740,$205.25,$207.70,$201.831
09/10/2024,$205.56,28406900,$218.60,$218.64,$200.61
09/09/2024,$216.81,8935074,$215.19,$218.15,$214.175
09/06/2024,$212.46,7776998,$217.60,$218.74,$211.09
09/05/2024,$217.63,8067874,$220.15,$220.80,$216.03
09/04/2024,$219.33,7389474,$221.04,$222.07,$217.21
09/03/2024,$220.30,8956089,$222.30,$224.10,$219.24
08/30/2024,$224.80,8574128,$222.50,$225.48,$221.93
08/29/2024,$222.21,6416149,$222.15,$222.98,$218.94
08/28/2024,$221.29,6506402,$219.25,$222.21,$219.19
08/27/2024,$220.18,5185221,$219.51,$220.42,$219.19
08/26/2024,$219.17,5105245,$219.01,$219.68,$218.05
08/23/2024,$218.31,7213981,$217.60,$219.19,$216.50
08/22/2024,$216.63,5247098,$214.58,$216.80,$214.335
08/21/2024,$214.60,5202472,$214.43,$215.00,$212.84
08/20/2024,$214.52,5640223,$215.00,$216.00,$213.68
08/19/2024,$215.45,6090818,$214.00,$215.53,$213.82
08/16/2024,$213.97,7931234,$211.69,$214.09,$211.585
08/15/2024,$211.55,7001005,$213.00,$213.89,$211.10
08/14/2024,$210.24,6999809,$207.74,$210.755,$207.12
08/13/2024,$207.94,6387942,$207.73,$208.09,$205.40
08/12/2024,$206.19,6935954,$206.41,$207.14,$203.66
08/09/2024,$205.80,5540240,$203.47,$206.47,$202.90
08/08/2024,$204.06,7761199,$202.47,$204.91,$201.79
08/07/2024,$200.40,9204434,$203.51,$205.75,$200.20
08/06/2024,$200.34,10605780,$195.40,$202.60,$194.00
08/05/2024,$194.90,13927000,$194.05,$196.1699,$190.90
08/02/2024,$199.14,18041680,$203.88,$204.67,$196.89
08/01/2024,$207.96,10918640,$213.20,$213.83,$206.38
07/31/2024,$212.80,9071637,$214.78,$216.39,$212.67
07/30/2024,$215.19,8850705,$213.23,$215.79,$212.96
07/29/2024,$210.85,6533636,$212.65,$213.61,$210.545
07/26/2024,$212.24,8027787,$209.24,$213.16,$208.62
07/25/2024,$208.67,6403774,$208.65,$210.19,$208.05
07/24/2024,$208.59,7118957,$209.55,$212.03,$208.07
07/23/2024,$210.33,5557262,$211.02,$211.475,$209.3527
07/22/2024,$210.28,7663223,$210.46,$212.17,$209.71
07/19/2024,$209.78,8095898,$211.20,$212.35,$208.92
07/18/2024,$209.98,12415130,$215.63,$216.635,$209.235
07/17/2024,$216.87,11572470,$213.80,$217.56,$213.27
07/16/2024,$213.62,11557020,$210.00,$213.74,$208.08
07/15/2024,$210.05,10719670,$207.19,$211.61,$206.72
07/12/2024,$204.94,15443440,$204.00,$207.45,$202.10
07/11/2024,$207.45,10666940,$206.21,$208.10,$205.38
07/10/2024,$207.80,8328493,$206.14,$207.97,$205.58
07/09/2024,$207.63,9060258,$205.63,$209.76,$205.45
07/08/2024,$205.17,8706967,$205.04,$206.90,$203.97
07/05/2024,$204.79,8093096,$206.99,$207.37,$204.52
07/03/2024,$208.69,5560925,$209.55,$210.38,$207.65
07/02/2024,$208.83,7802936,$205.29,$208.86,$204.77
07/01/2024,$205.45,10205840,$202.84,$207.09,$202.66
06/28/2024,$202.26,15307620,$200.01,$202.60,$199.3018
06/27/2024,$199.17,7913453,$197.44,$199.86,$196.90
06/26/2024,$197.43,7758582,$197.45,$197.94,$196.275
06/25/2024,$198.07,6915909,$198.09,$200.07,$197.74
06/24/2024,$198.88,9785929,$197.81,$199.23,$197.10
06/21/2024,$196.30,20972500,$196.71,$197.17,$194.22
06/20/2024,$198.67,8731062,$196.39,$199.45,$196.11
06/18/2024,$197.00,9022971,$194.60,$197.96,$194.13
06/17/2024,$194.98,8725445,$193.48,$195.58,$192.64
06/14/2024,$193.78,6874029,$191.45,$194.86,$191.42
06/13/2024,$193.66,8587786,$192.32,$194.58,$190.88
06/12/2024,$191.53,12751330,$196.00,$196.72,$191.31
06/11/2024,$194.36,9235302,$197.91,$197.94,$193.60
06/10/2024,$199.61,6071201,$199.24,$200.84,$198.44
06/07/2024,$199.95,6964498,$197.43,$200.92,$197.01
06/06/2024,$196.91,7640289,$197.26,$198.02,$195.33
06/05/2024,$197.26,8351597,$199.76,$199.82,$196.92
06/04/2024,$199.16,6848338,$200.16,$201.98,$198.28
06/03/2024,$201.82,6444309,$202.31,$202.42,$199.19
05/31/2024,$202.63,14417890,$199.30,$203.30,$198.35
05/30/2024,$199.33,6829719,$198.56,$199.85,$198.40
05/29/2024,$198.11,6120045,$198.00,$198.99,$196.89
05/28/2024,$199.50,6910206,$199.86,$200.41,$198.66
05/24/2024,$200.71,7356233,$197.75,$200.76,$197.56
05/23/2024,$196.92,8069445,$197.81,$198.30,$196.07
05/22/2024,$198.31,9425338,$199.00,$200.935,$197.69
05/21/2024,$199.52,14420800,$197.00,$199.90,$196.60
05/20/2024,$195.58,17373250,$204.39,$205.88,$195.40
05/17/2024,$204.79,9260490,$203.81,$205.05,$202.8149
05/16/2024,$202.47,8497927,$202.22,$204.48,$201.9901
05/15/2024,$202.11,8369975,$202.01,$202.69,$199.77
05/14/2024,$201.51,8596175,$199.00,$201.58,$198.16
05/13/2024,$198.73,7049241,$198.80,$199.85,$198.04
05/10/2024,$198.77,7529790,$198.54,$199.3399,$198.27
05/09/2024,$197.50,7977291,$195.17,$197.59,$195.10
05/08/2024,$195.65,9227561,$191.00,$196.65,$191.00
05/07/2024,$191.75,7688771,$191.70,$192.93,$191.65
05/06/2024,$192.00,7911134,$191.73,$192.20,$189.815
05/03/2024,$190.51,8922775,$192.00,$192.529,$188.46
05/02/2024,$191.66,6501657,$193.07,$193.50,$189.52
05/01/2024,$191.86,7446703,$192.27,$194.46,$190.79
04/30/2024,$191.74,8153681,$192.81,$194.99,$191.64
04/29/2024,$193.28,5411129,$193.48,$194.26,$192.43
04/26/2024,$193.49,6413655,$193.57,$194.87,$193.06
04/25/2024,$193.37,9802265,$192.25,$193.935,$191.18
04/24/2024,$193.08,6964905,$190.53,$193.23,$190.17
04/23/2024,$192.14,9144372,$191.13,$192.225,$190.52
